timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rssi_watch,rssi_iphone
73060.0,-0.84,0.14,0.19,-58.47,-4.88,16.91,999.0,999.0
73081.0,-0.41,0.15,0.24,12.88,-14.77,-16.48,999.0,999.0
73103.0,-0.51,0.23,-0.06,101.26,-16.36,-82.95,999.0,999.0
73124.0,-1.15,-0.03,-0.3,123.6,-26.0,-111.27,999.0,999.0
73145.0,-1.07,-0.17,-0.12,56.03,-30.4,-113.1,999.0,999.0
73162.0,-0.99,-0.22,0.03,80.57,-9.4,-108.76,999.0,999.0
73183.0,-0.97,-0.28,0.04,86.24,0.55,-102.05,999.0,999.0
73214.0,-0.91,-0.24,0.01,-5.37,-32.23,-76.23,999.0,999.0
73233.0,-0.96,-0.23,0.14,-2.69,-38.21,-61.34,999.0,999.0
73251.0,-0.93,-0.23,0.02,-0.73,-35.52,-53.96,999.0,999.0
73271.0,-0.88,-0.21,-0.02,-3.42,-33.02,-42.42,999.0,999.0
73288.0,-0.88,-0.22,-0.0,18.31,-32.1,-47.36,999.0,999.0
73314.0,-0.9,-0.32,0.01,20.81,-33.02,-48.95,999.0,999.0
73331.0,-0.9,-0.33,0.04,19.17,-29.85,-45.53,999.0,999.0
73352.0,-0.9,-0.33,0.04,12.76,-23.01,-40.83,999.0,999.0
73373.0,-0.91,-0.28,0.05,3.6,-21.0,-39.67,999.0,999.0
73389.0,-0.92,-0.25,0.07,7.08,-19.47,-40.95,999.0,999.0
73419.0,-0.94,-0.24,0.03,19.41,-17.64,-45.41,999.0,999.0
73439.0,-0.96,-0.24,0.02,24.29,-20.94,-51.21,999.0,999.0
73459.0,-0.91,-0.35,0.07,19.29,-24.48,-52.86,999.0,999.0
73476.0,-0.88,-0.46,0.06,8.0,-20.08,-45.72,999.0,999.0
73497.0,-0.86,-0.49,0.07,5.19,-14.22,-36.01,999.0,999.0
73518.0,-0.83,-0.5,-0.04,5.25,-9.46,-30.4,999.0,999.0
73533.0,-0.83,-0.53,-0.13,13.24,1.1,-18.01,999.0,999.0
73553.0,-0.84,-0.56,-0.11,0.55,-5.25,-6.71,999.0,999.0
73570.0,-0.91,-0.45,0.14,-22.52,-2.69,4.64,999.0,999.0
73596.0,-1.04,-0.41,0.03,5.49,21.3,12.76,999.0,999.0
73624.0,-1.17,-0.53,0.1,11.96,37.78,46.57,999.0,999.0
73644.0,-1.11,-0.45,0.26,-14.83,64.09,72.75,999.0,999.0
73665.0,-1.11,-0.02,0.24,-12.33,94.18,95.52,999.0,999.0
73686.0,-1.11,0.22,0.32,38.57,119.26,130.13,999.0,999.0
73707.0,-1.24,0.32,0.15,54.26,113.83,122.99,999.0,999.0
73728.0,-1.35,-0.11,-0.12,103.45,91.67,108.4,999.0,999.0
73749.0,-1.24,-0.35,0.23,120.85,56.58,97.47,999.0,999.0
73770.0,-1.17,-0.34,0.54,50.48,55.05,92.59,999.0,999.0
73787.0,-1.01,-0.32,0.32,12.94,47.49,87.95,999.0,999.0
73813.0,-0.9,-0.21,0.25,25.15,29.6,80.69,999.0,999.0
73837.0,-0.73,-0.25,0.13,29.66,22.28,69.34,999.0,999.0
73853.0,-0.64,-0.53,0.15,-0.67,19.23,84.35,999.0,999.0
73870.0,-0.69,-0.36,0.26,-24.11,18.8,87.65,999.0,999.0
73896.0,-0.72,-0.22,0.26,-55.48,23.07,70.56,999.0,999.0
73912.0,-0.71,-0.17,0.19,-48.95,13.18,52.92,999.0,999.0
73930.0,-0.67,-0.16,0.15,-43.76,7.2,44.92,999.0,999.0
73943.0,-0.64,-0.13,0.14,-33.45,2.62,26.86,999.0,999.0
73963.0,-0.61,-0.07,0.17,-21.0,-2.26,4.39,999.0,999.0
73985.0,-0.57,-0.12,0.2,-3.17,-7.08,-19.9,999.0,999.0
74006.0,-0.51,-0.26,0.18,-1.04,-15.56,-41.81,999.0,999.0
74030.0,-0.57,-0.47,0.23,-17.58,-24.17,-59.2,999.0,999.0
74049.0,-0.63,-0.6,0.31,-27.4,-28.44,-67.32,999.0,999.0
74064.0,-0.62,-0.63,0.35,-17.58,-37.35,-69.09,999.0,999.0
74081.0,-0.65,-0.89,0.43,-5.49,-39.06,-47.97,999.0,999.0
74107.0,-0.71,-1.0,0.43,-18.01,-29.91,-15.69,999.0,999.0
74124.0,-0.86,-0.84,0.32,-31.19,-45.23,3.17,999.0,999.0
74145.0,-0.93,-0.78,0.33,-30.21,-50.23,23.44,999.0,999.0
74166.0,-0.8,-0.79,0.51,-20.02,-57.31,37.41,999.0,999.0
74183.0,-0.51,-0.85,0.76,-5.8,-51.94,29.48,999.0,999.0
74209.0,-0.99,-0.7,0.66,62.32,-31.19,-14.53,999.0,999.0
74235.0,-2.36,-0.15,0.14,64.58,21.97,-12.76,999.0,999.0
74256.0,-0.61,0.18,-0.08,11.23,25.33,32.9,999.0,999.0
74277.0,-0.2,0.15,0.56,18.31,-3.48,-17.94,999.0,999.0
74294.0,-0.27,0.34,0.66,66.28,11.17,-46.75,999.0,999.0
74320.0,-1.13,-0.08,-0.54,195.68,31.62,-111.15,999.0,999.0
74340.0,-1.36,-0.54,-0.43,120.67,-5.55,-89.11,999.0,999.0
74356.0,-1.16,-0.2,-0.07,75.62,-3.36,-70.37,999.0,999.0
74377.0,-0.86,0.07,-0.05,104.31,-1.46,-78.8,999.0,999.0
74398.0,-0.78,0.04,0.03,118.96,-4.88,-88.5,999.0,999.0
74424.0,-0.93,-0.24,0.1,80.87,-4.88,-80.81,999.0,999.0
74448.0,-0.99,-0.25,0.0,43.82,-7.39,-57.56,999.0,999.0
74468.0,-0.93,-0.02,0.02,15.44,-8.12,-36.56,999.0,999.0
74485.0,-0.96,-0.16,0.04,49.68,-4.94,-45.84,999.0,999.0
74504.0,-0.92,-0.38,-0.1,103.82,-0.67,-48.95,999.0,999.0
74526.0,-0.89,-0.43,-0.17,116.21,-2.99,-45.72,999.0,999.0
74543.0,-0.87,-0.45,-0.06,112.0,-9.4,-34.48,999.0,999.0
74564.0,-0.95,-0.33,0.09,80.08,18.31,-21.73,999.0,999.0
74581.0,-0.97,-0.24,-0.07,65.06,19.78,-20.57,999.0,999.0
74606.0,-0.98,-0.16,-0.03,51.82,10.19,-22.09,999.0,999.0
74623.0,-0.94,-0.19,0.0,58.84,3.05,-34.24,999.0,999.0
74647.0,-0.93,-0.26,0.02,60.61,4.52,-35.89,999.0,999.0
74667.0,-0.93,-0.26,0.0,64.82,7.02,-36.56,999.0,999.0
74688.0,-0.9,-0.29,-0.05,74.34,6.65,-35.34,999.0,999.0
74709.0,-0.89,-0.34,-0.01,68.85,9.46,-28.81,999.0,999.0
74733.0,-0.88,-0.39,-0.07,62.19,16.91,-18.01,999.0,999.0
74752.0,-0.9,-0.42,-0.13,65.67,17.03,-8.48,999.0,999.0
74770.0,-0.89,-0.45,-0.14,69.76,17.52,-2.93,999.0,999.0
74783.0,-0.86,-0.46,-0.09,62.5,17.03,4.76,999.0,999.0
74804.0,-0.9,-0.44,-0.01,54.02,18.8,17.27,999.0,999.0
74826.0,-1.02,-0.44,0.11,45.35,19.23,35.58,999.0,999.0
74849.0,-1.21,-0.4,0.23,32.41,28.75,60.18,999.0,999.0
74869.0,-1.22,-0.3,0.27,32.35,51.88,80.51,999.0,999.0
74886.0,-1.12,-0.05,0.39,36.93,76.42,86.06,999.0,999.0
74907.0,-1.03,0.03,0.35,44.62,96.37,89.54,999.0,999.0
74924.0,-0.92,-0.25,0.4,87.04,107.91,102.72,999.0,999.0
74951.0,-0.95,-0.2,0.36,147.95,103.09,111.15,999.0,999.0
74972.0,-1.1,-0.22,0.32,151.61,84.11,89.17,999.0,999.0
74989.0,-1.07,-0.5,0.25,69.7,68.85,69.21,999.0,999.0
75006.0,-0.96,-0.54,0.32,46.45,62.19,71.53,999.0,999.0
75028.0,-0.91,-0.51,0.28,-22.95,63.96,82.03,999.0,999.0
75051.0,-0.69,-0.27,0.15,-9.89,47.18,53.59,999.0,999.0
75072.0,-0.63,-0.3,0.24,5.37,50.96,36.93,999.0,999.0
75093.0,-0.65,-0.3,0.3,7.51,52.73,24.54,999.0,999.0
75110.0,-0.65,-0.28,0.31,3.17,48.71,10.01,999.0,999.0
75130.0,-0.65,-0.29,0.31,-7.32,44.56,-0.55,999.0,999.0
75153.0,-0.64,-0.3,0.28,-13.43,41.56,-12.33,999.0,999.0
75168.0,-0.64,-0.33,0.25,-9.7,38.33,-27.83,999.0,999.0
75189.0,-0.62,-0.36,0.23,-1.04,32.23,-42.54,999.0,999.0
75209.0,-0.6,-0.41,0.25,3.91,21.85,-53.16,999.0,999.0
75231.0,-0.62,-0.51,0.31,-1.77,9.09,-57.01,999.0,999.0
75256.0,-0.68,-0.63,0.39,-12.7,-2.56,-55.05,999.0,999.0
75277.0,-0.7,-0.68,0.42,-18.01,-2.14,-51.09,999.0,999.0
75294.0,-0.69,-0.67,0.42,-19.41,-0.85,-38.21,999.0,999.0
75308.0,-0.68,-0.68,0.42,-6.29,-1.83,-26.79,999.0,999.0
75329.0,-0.67,-0.69,0.45,0.98,-2.5,-15.5,999.0,999.0
75351.0,-0.69,-0.64,0.49,0.18,-5.19,-5.49,999.0,999.0
75372.0,-0.73,-0.56,0.56,-2.14,-3.48,2.14,999.0,999.0
75393.0,-0.78,-0.5,0.61,15.62,-0.12,11.35,999.0,999.0
75409.0,-0.77,-0.51,0.67,29.79,-1.22,16.36,999.0,999.0
75426.0,-0.67,-0.52,0.65,8.12,-2.75,7.69,999.0,999.0
75447.0,-0.6,-0.47,0.48,-9.64,-6.16,-13.0,999.0,999.0
75469.0,-0.59,-0.42,0.45,7.32,-13.06,-38.45,999.0,999.0
75488.0,-0.73,-0.38,0.49,44.62,-30.33,-59.51,999.0,999.0
75505.0,-1.34,-0.38,0.5,86.85,-49.19,-74.52,999.0,999.0
