timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,phone_rssi,watch_rssi
256268,0.31,0.09,0.95,0.12,0.12,0.06,406.0,-767.0,397.0,-69.0,-80.0
256299,0.31,0.09,0.95,0.12,0.12,0.06,406.0,-767.0,397.0,-69.0,-80.0
256339,0.31,0.09,0.95,0.06,0.24,0.18,406.0,-767.0,397.0,-69.0,-80.0
256368,0.31,0.09,0.95,0.24,0.0,-0.06,402.0,-767.0,396.0,-69.0,-80.0
256402,0.3,0.09,0.95,0.12,0.0,0.12,402.0,-767.0,396.0,-69.0,-80.0
256438,0.31,0.09,0.95,0.06,0.37,0.18,402.0,-767.0,396.0,-69.0,-80.0
256468,0.31,0.09,0.95,0.24,0.12,0.0,403.0,-768.0,401.0,-69.0,-80.0
256495,0.31,0.09,0.95,0.0,0.0,0.06,403.0,-768.0,401.0,-69.0,-80.0
256529,0.31,0.09,0.95,0.12,0.06,0.06,403.0,-768.0,401.0,-69.0,-80.0
256563,0.3,0.09,0.95,0.06,0.18,0.06,405.0,-771.0,398.0,-69.0,-80.0
256597,0.31,0.09,0.95,0.06,0.24,0.12,405.0,-771.0,398.0,-69.0,-80.0
256631,0.31,0.09,0.95,0.06,0.18,0.12,405.0,-771.0,398.0,-69.0,-80.0
256658,0.31,0.09,0.94,0.06,0.0,0.12,405.0,-771.0,398.0,-69.0,-80.0
256696,0.31,0.09,0.95,0.06,0.18,0.18,403.0,-766.0,397.0,-69.0,-80.0
256726,0.3,0.09,0.95,0.18,0.24,0.18,403.0,-766.0,397.0,-69.0,-80.0
256751,0.31,0.09,0.95,0.0,0.0,0.06,403.0,-766.0,397.0,-69.0,-80.0
256794,0.31,0.09,0.95,0.12,0.12,0.18,404.0,-772.0,394.0,-69.0,-80.0
256831,0.31,0.09,0.95,0.12,0.24,0.12,404.0,-772.0,394.0,-69.0,-80.0
256862,0.31,0.09,0.95,0.12,0.0,0.06,403.0,-769.0,398.0,-69.0,-80.0
256900,0.3,0.09,0.95,0.18,0.12,0.0,403.0,-769.0,398.0,-69.0,-80.0
256936,0.31,0.09,0.95,0.06,0.49,0.18,403.0,-769.0,398.0,-69.0,-80.0
256972,0.31,0.08,0.95,0.0,0.24,0.24,406.0,-770.0,396.0,-69.0,-80.0
256998,0.31,0.09,0.94,-0.18,-0.12,0.06,406.0,-770.0,396.0,-69.0,-80.0
257031,0.31,0.09,0.95,0.18,-0.12,0.0,406.0,-770.0,396.0,-69.0,-80.0
257063,0.31,0.09,0.95,0.37,0.24,0.06,404.0,-769.0,399.0,-69.0,-80.0
257091,0.31,0.09,0.95,0.0,0.24,0.12,404.0,-769.0,399.0,-69.0,-80.0
257121,0.31,0.09,0.95,0.06,0.12,-0.06,404.0,-769.0,399.0,-69.0,-80.0
257144,0.31,0.09,0.95,0.06,0.24,0.06,404.0,-769.0,399.0,-69.0,-80.0
257174,0.31,0.09,0.95,0.31,0.24,0.06,403.0,-769.0,399.0,-69.0,-80.0
257209,0.31,0.09,0.95,0.18,0.06,0.12,403.0,-769.0,399.0,-69.0,-80.0
257245,0.31,0.09,0.95,0.18,0.0,0.12,403.0,-769.0,399.0,-69.0,-80.0
257269,0.31,0.09,0.95,0.12,0.37,0.06,404.0,-770.0,395.0,-69.0,-80.0
257292,0.31,0.09,0.95,-0.12,0.31,0.12,404.0,-770.0,395.0,-69.0,-80.0
257335,0.31,0.09,0.95,0.06,0.06,0.12,404.0,-770.0,395.0,-62.0,-80.0
257368,0.31,0.09,0.95,0.31,0.0,0.12,403.0,-770.0,399.0,-62.0,-80.0
257405,0.3,0.09,0.95,0.06,0.12,0.06,403.0,-770.0,399.0,-62.0,-80.0
257432,0.31,0.09,0.95,-0.06,0.18,0.12,403.0,-770.0,399.0,-62.0,-80.0
257466,0.31,0.09,0.95,0.0,0.37,0.06,406.0,-766.0,401.0,-62.0,-80.0
257495,0.31,0.09,0.95,0.24,0.0,0.06,406.0,-766.0,401.0,-62.0,-80.0
257537,0.31,0.09,0.95,0.0,0.06,0.12,406.0,-766.0,401.0,-62.0,-80.0
257564,0.31,0.09,0.95,0.0,0.12,0.12,405.0,-768.0,394.0,-62.0,-80.0
257597,0.31,0.09,0.95,0.06,0.24,0.06,405.0,-768.0,394.0,-62.0,-80.0
257624,0.31,0.09,0.95,0.18,0.12,0.06,405.0,-768.0,394.0,-62.0,-80.0
257654,0.31,0.09,0.94,-0.06,0.18,0.12,407.0,-767.0,393.0,-62.0,-80.0
257688,0.31,0.09,0.94,0.0,0.43,0.12,407.0,-767.0,393.0,-62.0,-80.0
257724,0.31,0.09,0.95,0.24,0.31,0.12,407.0,-767.0,393.0,-62.0,-80.0
257752,0.3,0.09,0.95,-0.06,0.06,0.24,404.0,-767.0,399.0,-62.0,-80.0
257788,0.31,0.09,0.95,0.06,0.55,0.12,404.0,-767.0,399.0,-62.0,-80.0
257821,0.31,0.09,0.95,0.18,0.49,0.12,404.0,-767.0,399.0,-62.0,-80.0
257846,0.31,0.09,0.95,0.06,0.0,0.06,405.0,-771.0,403.0,-62.0,-80.0
257868,0.31,0.09,0.95,0.18,0.43,0.0,405.0,-771.0,403.0,-62.0,-80.0
257901,0.31,0.09,0.95,0.18,0.0,0.12,405.0,-771.0,403.0,-62.0,-80.0
257933,0.31,0.09,0.95,0.06,0.12,0.18,405.0,-771.0,403.0,-62.0,-81.0
257970,0.31,0.09,0.94,-0.24,0.31,0.06,403.0,-769.0,397.0,-62.0,-81.0
257998,0.31,0.09,0.95,0.06,0.12,0.0,403.0,-769.0,397.0,-62.0,-81.0
258032,0.31,0.09,0.94,0.24,-0.12,0.06,403.0,-769.0,397.0,-62.0,-81.0
258064,0.31,0.09,0.95,0.0,0.31,0.18,405.0,-768.0,400.0,-62.0,-81.0
258091,0.3,0.09,0.95,0.18,0.24,0.0,405.0,-768.0,400.0,-62.0,-81.0
258123,0.31,0.09,0.95,-0.18,-0.06,0.18,405.0,-768.0,400.0,-62.0,-81.0
258154,0.31,0.09,0.95,0.24,0.61,0.06,402.0,-768.0,394.0,-62.0,-81.0
258186,0.31,0.09,0.95,0.18,-0.18,0.0,402.0,-768.0,394.0,-62.0,-81.0
258216,0.31,0.09,0.95,0.0,0.0,0.12,402.0,-768.0,394.0,-62.0,-81.0
258243,0.31,0.09,0.95,0.31,0.31,0.12,405.0,-770.0,398.0,-62.0,-81.0
